posteam,posteam_type,defteam,side_of_field,yardline_100,half_seconds_remaining,game_seconds_remaining,qtr,down,ydstogo,ydsnet,yards_gained,epa,wp,def_wp,wpa,vegas_wpa,pass_attempt,season,cp,cpoe,goal_to_go,air_yards,field_goal_attempt,field_goal_result,kick_distance,score_differential,no_score_prob,opp_fg_prob,opp_td_prob,fg_prob,td_prob,punt_blocked,punt_inside_twenty,touchback,punt_attempt,fourth_down_converted,touchdown
GB,away,NO,NO,31.0,1616.0,1616.0,3.0,4.0,3.0,66.0,0.0,2.7781796,0.09867596,0.90132403,0.048695765,0.06628604,0.0,2021,,,0,,0.0,,,-14.0,0.0036668433,0.10346508,0.14375797,0.6058116,0.14144278,0.0,0.0,0.0,0.0,0.0,0.0
GB,away,NO,GB,78.0,1002.0,1002.0,3.0,4.0,1.0,9.0,0.0,-2.9927118,0.009058581,0.9909414,-0.0018828968,-0.010131687,1.0,2021,0.7037585,-70.37585,0,5.0,0.0,,,-21.0,0.040134657,0.23667745,0.37967476,0.119807236,0.21685004,0.0,0.0,0.0,0.0,0.0,0.0
NO,home,GB,NO,83.0,261.0,261.0,4.0,4.0,9.0,6.0,0.0,0.40958488,0.99984276,0.00015723705,7.2717667e-06,6.4373016e-06,0.0,2021,,,0,,0.0,,,35.0,0.37250683,0.16552176,0.2910703,0.07243105,0.09387196,0.0,0.0,0.0,0.0,0.0,0.0
GB,away,NO,NO,21.0,130.0,130.0,4.0,4.0,1.0,54.0,2.0,1.5165339,8.9630346e-05,0.99991035,-2.039109e-06,2.9939132e-05,0.0,2021,,,0,,0.0,,,-35.0,0.22256064,0.030363172,0.040326558,0.42100552,0.28285608,0.0,0.0,0.0,0.0,1.0,0.0
HOU,home,JAX,JAX,40.0,208.0,2008.0,2.0,4.0,2.0,3.0,0.0,-0.64389503,0.8436295,0.15637052,-0.01751709,-0.032984555,0.0,2021,,,0,,0.0,,,10.0,0.43714216,0.08455348,0.12346919,0.1502004,0.19719577,0.0,0.0,0.0,0.0,0.0,0.0
JAX,away,HOU,JAX,60.0,640.0,640.0,4.0,4.0,10.0,38.0,14.0,3.6042683,0.0015431666,0.99845684,0.00086578773,0.001752967,1.0,2021,0.36929694,63.070305,0,14.0,0.0,,,-23.0,0.094615646,0.17289169,0.31782523,0.14862892,0.26007804,0.0,0.0,0.0,0.0,1.0,0.0
WAS,home,LAC,LAC,36.0,1059.0,1059.0,3.0,4.0,1.0,47.0,5.0,1.9943334,0.7300952,0.2699048,0.053108454,0.05534357,0.0,2021,,,0,,0.0,,,3.0,0.024254877,0.11386285,0.17179051,0.29436088,0.39147496,0.0,0.0,0.0,0.0,1.0,0.0
WAS,home,LAC,LAC,40.0,412.0,412.0,4.0,4.0,7.0,30.0,0.0,-0.28516862,0.32560408,0.6743959,-0.050275624,-0.047371656,0.0,2021,,,0,,0.0,,,-4.0,0.23365203,0.12057206,0.21739146,0.1814211,0.23755369,0.0,0.0,0.0,0.0,0.0,0.0
CIN,home,MIN,MIN,25.0,1559.0,1559.0,3.0,4.0,1.0,75.0,2.0,1.8404676,0.8318561,0.16814393,0.032093108,0.039011598,0.0,2021,,,0,,0.0,,,7.0,0.0036800865,0.08457405,0.102069624,0.4423586,0.36555457,0.0,0.0,0.0,0.0,1.0,0.0
CIN,home,MIN,CIN,70.0,1100.0,1100.0,3.0,4.0,1.0,9.0,0.0,-3.5297887,0.93350846,0.066491544,-0.03983292,-0.06005302,0.0,2021,,,0,,0.0,,,14.0,0.031734664,0.20348854,0.31911814,0.136263,0.30273825,0.0,0.0,0.0,0.0,0.0,0.0
MIN,away,CIN,CIN,24.0,1050.0,1050.0,3.0,4.0,4.0,30.0,24.0,4.6663857,0.09661211,0.9033879,0.08498241,0.12299096,1.0,2021,0.7391843,26.081568,0,5.0,0.0,,,-14.0,0.006851947,0.0414132,0.07249472,0.7951734,0.08281589,0.0,0.0,0.0,0.0,1.0,1.0
MIN,away,CIN,MIN,55.0,37.0,37.0,4.0,4.0,4.0,60.0,6.0,0.68724793,0.16135472,0.8386453,0.030114144,0.011327416,1.0,2021,0.72831506,27.168495,0,6.0,0.0,,,-3.0,0.8834207,0.026083477,0.011156701,0.03343382,0.04480076,0.0,0.0,0.0,0.0,1.0,0.0
CIN,home,MIN,CIN,52.0,39.0,39.0,5.0,4.0,1.0,46.0,32.0,3.3800206,0.1048665,0.8951335,0.633723,0.633723,1.0,2021,0.54830897,45.1691,0,15.0,0.0,,,0.0,0.8574974,0.021335095,0.015751805,0.05203062,0.052100766,0.0,0.0,0.0,0.0,1.0,0.0
